iterations = 34, 0.894, 0.996, 0.898, 30, 2580598863.7510853, changed = True, neighbourhood = 0 
iterations = 35, 0.894, 0.996, 0.898, 30, 2575696078.8095717, changed = True, neighbourhood = 0 
iterations = 36, 0.894, 0.996, 0.898, 30, 2601707261.905955, changed = True, neighbourhood = 0 
iterations = 37, 0.894, 0.996, 0.898, 30, 2565996358.9194646, changed = True, neighbourhood = 0 
iterations = 38, 0.894, 0.996, 0.898, 30, 2581913784.2622924, changed = True, neighbourhood = 0 
iterations = 39, 0.894, 0.996, 0.898, 30, 2552262082.6228795, changed = True, neighbourhood = 0 
iterations = 40, 0.894, 0.996, 0.898, 30, 2545800285.4323025, changed = True, neighbourhood = 0 
iterations = 41, 0.894, 0.996, 0.898, 30, 2570847217.860362, changed = True, neighbourhood = 0 
iterations = 42, 0.894, 0.996, 0.898, 30, 2549812600.276598, changed = True, neighbourhood = 0 
iterations = 43, 0.874, 0.996, 0.878, 30, 2529702796.0261564, changed = True, neighbourhood = 0 
iterations = 44, 0.874, 0.996, 0.878, 30, 2525945291.3181696, changed = True, neighbourhood = 0 
iterations = 45, 0.874, 0.996, 0.878, 30, 2523523654.888793, changed = True, neighbourhood = 0 
iterations = 46, 0.874, 0.996, 0.878, 30, 2589842696.213861, changed = True, neighbourhood = 0 
iterations = 47, 0.874, 0.996, 0.878, 30, 2516831656.041216, changed = True, neighbourhood = 0 
iterations = 48, 0.874, 0.996, 0.878, 30, 2497360924.890737, changed = True, neighbourhood = 0 
iterations = 49, 0.874, 0.996, 0.878, 30, 2491233284.3482842, changed = True, neighbourhood = 0 
[{'act': 3180303.8587603853, 'cost': 280.0}, {'act': 978296.3468970908, 'cost': 380.0}, {'act': 3262681.427148871, 'cost': 260.0}, {'act': 4521106.7130483575, 'cost': 240.0}, {'act': 25253824.282062866, 'cost': 120.0}, {'act': 6246452.131590706, 'cost': 200.0}, {'act': 35116629.32266682, 'cost': 100.0}, {'act': 169462.182744045, 'cost': 620.0}, {'act': 1519389.1521632466, 'cost': 320.0}, {'act': 189240.23207481834, 'cost': 520.0}, {'act': 10900575.074042123, 'cost': 160.0}, {'act': 159883.0589418874, 'cost': 700.0}, {'act': 15432893.953379406, 'cost': 140.0}, {'act': 166672.93331271998, 'cost': 680.0}, {'act': 178901.3989291795, 'cost': 600.0}, {'act': 4778080.867012679, 'cost': 220.0}, {'act': 1069700.6402670231, 'cost': 360.0}, {'act': 203595.5982887439, 'cost': 500.0}, {'act': 2331013.1010247865, 'cost': 300.0}, {'act': 757461.6621119867, 'cost': 400.0}, {'act': 466779.16820357897, 'cost': 420.0}, {'act': 9682165.718916137, 'cost': 180.0}, {'act': 337667.63497192686, 'cost': 480.0}, {'act': 161858.6012730073, 'cost': 820.0}, {'act': 35689580.25273552, 'cost': 120.0}, {'act': 23161942.39327983, 'cost': 140.0}, {'act': 14877605.838115, 'cost': 160.0}, {'act': 187644.08098331015, 'cost': 720.0}, {'act': 9946765.205181498, 'cost': 180.0}, {'act': 216189.06461177845, 'cost': 540.0}] 
iterations = 0, 0.721, 0.996, 0.724, 30, 10913677906.697012, changed = True, neighbourhood = 0 
iterations = 1, 0.721, 0.996, 0.724, 30, 2865461823.057687, changed = True, neighbourhood = 0 
iterations = 2, 0.737, 0.996, 0.74, 30, 2391538706.637615, changed = True, neighbourhood = 0 
iterations = 3, 0.84, 0.989, 0.849, 30, 2898650588.729494, changed = True, neighbourhood = 0 
iterations = 4, 0.84, 0.989, 0.849, 30, 2274612088.8655987, changed = True, neighbourhood = 0 
iterations = 5, 0.848, 0.989, 0.857, 30, 2385685867.3927317, changed = True, neighbourhood = 0 
iterations = 6, 0.872, 0.993, 0.878, 30, 2758423308.215665, changed = True, neighbourhood = 0 
iterations = 7, 0.872, 0.994, 0.878, 30, 2650006474.745036, changed = True, neighbourhood = 0 
iterations = 8, 0.874, 0.996, 0.878, 30, 2554699321.8216467, changed = True, neighbourhood = 0 
iterations = 9, 0.88, 0.996, 0.884, 30, 2997149074.705732, changed = True, neighbourhood = 0 
iterations = 10, 0.88, 0.996, 0.884, 30, 3079121967.561976, changed = True, neighbourhood = 0 
iterations = 11, 0.88, 0.996, 0.884, 30, 3108922983.40123, changed = True, neighbourhood = 0 
iterations = 12, 0.88, 0.996, 0.884, 30, 3039486814.0664253, changed = True, neighbourhood = 0 
iterations = 13, 0.88, 0.996, 0.884, 30, 2954073245.2368736, changed = True, neighbourhood = 0 
iterations = 14, 0.88, 0.996, 0.884, 30, 2906460708.7838864, changed = True, neighbourhood = 0 
iterations = 15, 0.88, 0.996, 0.884, 30, 2853386406.326524, changed = True, neighbourhood = 0 
iterations = 16, 0.88, 0.996, 0.884, 30, 2826030761.973397, changed = True, neighbourhood = 0 
iterations = 17, 0.88, 0.996, 0.884, 30, 2814284563.8984795, changed = True, neighbourhood = 0 
iterations = 18, 0.88, 0.996, 0.884, 30, 2772846431.383223, changed = True, neighbourhood = 0 
iterations = 19, 0.88, 0.996, 0.884, 30, 2782289095.336632, changed = True, neighbourhood = 0 
iterations = 20, 0.88, 0.995, 0.884, 30, 2730805864.304897, changed = True, neighbourhood = 0 
iterations = 21, 0.88, 0.995, 0.884, 30, 2679156269.098339, changed = True, neighbourhood = 0 
iterations = 22, 0.88, 0.995, 0.884, 30, 2650451282.420332, changed = True, neighbourhood = 0 
iterations = 23, 0.88, 0.995, 0.884, 30, 2590150548.698611, changed = True, neighbourhood = 0 
iterations = 24, 0.88, 0.995, 0.884, 30, 2589180025.15911, changed = True, neighbourhood = 0 
iterations = 25, 0.88, 0.995, 0.884, 30, 2559321694.2271395, changed = True, neighbourhood = 0 
iterations = 26, 0.88, 0.995, 0.884, 30, 2595878792.586165, changed = True, neighbourhood = 0 
iterations = 27, 0.88, 0.995, 0.884, 30, 2617190272.5600224, changed = True, neighbourhood = 0 
iterations = 28, 0.88, 0.995, 0.884, 30, 2534829223.8506556, changed = True, neighbourhood = 0 
iterations = 29, 0.88, 0.995, 0.884, 30, 2552333143.2759132, changed = True, neighbourhood = 0 
iterations = 30, 0.88, 0.995, 0.884, 30, 2537424443.483483, changed = True, neighbourhood = 0 
iterations = 31, 0.88, 0.995, 0.884, 30, 2563100542.6087065, changed = True, neighbourhood = 0 
iterations = 32, 0.88, 0.995, 0.884, 30, 2530717573.7263756, changed = True, neighbourhood = 0 
iterations = 33, 0.88, 0.995, 0.884, 30, 2529876215.0268807, changed = True, neighbourhood = 0 
iterations = 34, 0.88, 0.995, 0.884, 30, 2515190076.3697796, changed = True, neighbourhood = 0 
iterations = 35, 0.88, 0.995, 0.884, 30, 2521057421.521958, changed = True, neighbourhood = 0 
iterations = 36, 0.88, 0.995, 0.884, 30, 2519460962.862935, changed = True, neighbourhood = 0 
iterations = 37, 0.88, 0.995, 0.884, 30, 2516616965.3651233, changed = True, neighbourhood = 0 
iterations = 38, 0.88, 0.995, 0.884, 30, 2518556987.502009, changed = True, neighbourhood = 0 
iterations = 39, 0.88, 0.995, 0.884, 30, 2558047377.3117924, changed = True, neighbourhood = 0 
iterations = 40, 0.88, 0.995, 0.884, 30, 2510470981.9062023, changed = True, neighbourhood = 0 
iterations = 41, 0.88, 0.995, 0.884, 30, 2533208149.0101857, changed = True, neighbourhood = 0 
iterations = 42, 0.88, 0.995, 0.884, 30, 2542041669.993346, changed = True, neighbourhood = 0 
iterations = 43, 0.88, 0.995, 0.884, 30, 2535274481.1808357, changed = True, neighbourhood = 0 
iterations = 44, 0.88, 0.995, 0.884, 30, 2527427856.226129, changed = True, neighbourhood = 0 
iterations = 45, 0.88, 0.995, 0.884, 30, 2525135381.785671, changed = True, neighbourhood = 0 
iterations = 46, 0.88, 0.995, 0.884, 30, 2494970050.3988066, changed = True, neighbourhood = 0 
iterations = 47, 0.88, 0.995, 0.884, 30, 2514703694.3508887, changed = True, neighbourhood = 0 
iterations = 48, 0.88, 0.995, 0.884, 30, 2526456803.2950897, changed = True, neighbourhood = 0 
iterations = 49, 0.88, 0.995, 0.884, 30, 2522186197.997905, changed = True, neighbourhood = 0 
[{'act': 15244222.670303391, 'cost': 140.0}, {'act': 24376681.2496529, 'cost': 120.0}, {'act': 11047173.826007143, 'cost': 160.0}, {'act': 34703486.4863458, 'cost': 100.0}, {'act': 6779127.177656534, 'cost': 200.0}, {'act': 157039.7126815417, 'cost': 660.0}, {'act': 3110964.571643172, 'cost': 260.0}, {'act': 4710831.247664946, 'cost': 240.0}, {'act': 1960834.0055158727, 'cost': 320.0}, {'act': 205340.78384654497, 'cost': 500.0}, {'act': 321000.82690875547, 'cost': 460.0}, {'act': 2712018.0604633694, 'cost': 280.0}, {'act': 684988.2718634468, 'cost': 400.0}, {'act': 1519830.3629675887, 'cost': 340.0}, {'act': 177347.30937155453, 'cost': 600.0}, {'act': 168674.35216533, 'cost': 620.0}, {'act': 1968860.8996078148, 'cost': 300.0}, {'act': 335935.31630711927, 'cost': 420.0}, {'act': 214162.96455179038, 'cost': 480.0}, {'act': 188868.23496824387, 'cost': 520.0}, {'act': 9466819.934425466, 'cost': 180.0}, {'act': 1244383.609558718, 'cost': 360.0}, {'act': 5224612.5546178995, 'cost': 220.0}, {'act': 159010.0180887376, 'cost': 860.0}, {'act': 34646291.52471678, 'cost': 120.0}, {'act': 22437197.994537547, 'cost': 140.0}, {'act': 1595020.6878889794, 'cost': 460.0}, {'act': 14895617.653127277, 'cost': 160.0}, {'act': 201283.72309581153, 'cost': 660.0}, {'act': 10613208.896536183, 'cost': 200.0}] 
iterations = 0, 0.721, 0.996, 0.724, 30, 11194297588.94889, changed = True, neighbourhood = 0 
iterations = 1, 0.738, 0.996, 0.741, 30, 4488778786.456018, changed = True, neighbourhood = 0 
iterations = 2, 0.738, 0.996, 0.741, 30, 2934983289.787168, changed = True, neighbourhood = 0 
iterations = 3, 0.896, 0.995, 0.9, 30, 6726542159.241622, changed = True, neighbourhood = 0 
iterations = 4, 0.896, 0.995, 0.9, 30, 6512404690.569104, changed = True, neighbourhood = 0 
iterations = 5, 0.887, 0.995, 0.891, 30, 5704521312.323731, changed = True, neighbourhood = 0 
iterations = 6, 0.874, 0.995, 0.878, 30, 5583663442.941694, changed = True, neighbourhood = 0 
iterations = 7, 0.874, 0.995, 0.878, 30, 5074959045.486802, changed = True, neighbourhood = 0 
iterations = 8, 0.874, 0.995, 0.878, 30, 4712685130.575772, changed = True, neighbourhood = 0 
iterations = 9, 0.874, 0.995, 0.878, 30, 3773089990.443383, changed = True, neighbourhood = 0 
iterations = 10, 0.877, 0.995, 0.881, 30, 3330013876.1413565, changed = True, neighbourhood = 0 
iterations = 11, 0.877, 0.995, 0.881, 30, 3287015562.6415215, changed = True, neighbourhood = 0 
iterations = 12, 0.877, 0.995, 0.881, 30, 3158949746.2683277, changed = True, neighbourhood = 0 
iterations = 13, 0.877, 0.995, 0.881, 30, 3043062485.8914967, changed = True, neighbourhood = 0 
iterations = 14, 0.877, 0.995, 0.881, 30, 2915844149.22163, changed = True, neighbourhood = 0 
iterations = 15, 0.877, 0.995, 0.881, 30, 2803408372.4306817, changed = True, neighbourhood = 0 
