[{'id': '132_2', 'cost': 2680, 'act': 5343, 'utils': {'Role 1': 0.01, 'Role 2': 0.0}}, {'id': '12_2', 'cost': 280, 'act': 5437, 'utils': {'Role 1': 0.07, 'Role 2': 0.01}}, {'id': '12_4', 'cost': 320, 'act': 5387, 'utils': {'Role 1': 0.08, 'Role 2': 0.0}}, {'id': '6_3', 'cost': 180, 'act': 5542, 'utils': {'Role 1': 0.16, 'Role 2': 0.01}}, {'id': '3_1', 'cost': 80, 'act': 6614, 'utils': {'Role 1': 0.3, 'Role 2': 0.02}}, {'id': '2_1', 'cost': 60, 'act': 8245, 'utils': {'Role 1': 0.45, 'Role 2': 0.02}}, {'id': '1_1', 'cost': 40, 'act': 229327, 'utils': {'Role 1': 0.98, 'Role 2': 0.01}}, {'id': '4_2', 'cost': 120, 'act': 5608, 'utils': {'Role 1': 0.23, 'Role 2': 0.0}}, {'id': '4_1', 'cost': 100, 'act': 5680, 'utils': {'Role 1': 0.22, 'Role 2': 0.01}}] 
iterations = 2, 0.0, 0.0, 0.0, 1, 0, changed = True, neighbourhood = 22 
iterations = 4, 0.003, 0.025, 0.115, 3, 6560610.0, changed = True, neighbourhood = 20 
iterations = 6, 0.011, 0.065, 0.173, 3, 9748150.0, changed = True, neighbourhood = 20 
iterations = 8, 0.003, 0.057, 0.058, 2, 3248870.0, changed = True, neighbourhood = 24 
iterations = 10, 0.009, 0.079, 0.119, 4, 6606590.0, changed = True, neighbourhood = 20 
iterations = 12, 0.016, 0.088, 0.179, 4, 9796510.0, changed = True, neighbourhood = 19 
iterations = 14, 0.031, 0.128, 0.24, 5, 13220530.0, changed = True, neighbourhood = 20 
iterations = 16, 0.034, 0.112, 0.3, 10, 16653920.0, changed = True, neighbourhood = 21 
iterations = 18, 0.032, 0.09, 0.361, 5, 19819470.0, changed = True, neighbourhood = 21 
iterations = 20, 0.009, 0.159, 0.058, 4, 3373510.0, changed = True, neighbourhood = 21 
