[{'id': '1_8_1_5_1_1', 'cost': 340, 'act': 1494824, 'utils': {'Role 0': 0.0, 'Role 3': 0.04, 'Role 1': 0.35, 'Role 2': 0.95, 'Role 4': 0.86, 'Role 5': 0.08}}, {'id': '1_7_1_4_1_1', 'cost': 300, 'act': 2391151, 'utils': {'Role 0': 0.0, 'Role 3': 0.03, 'Role 1': 0.29, 'Role 2': 0.88, 'Role 4': 0.89, 'Role 5': 0.07}}, {'id': '1_6_1_4_1_1', 'cost': 280, 'act': 2734877, 'utils': {'Role 0': 0.0, 'Role 3': 0.03, 'Role 1': 0.28, 'Role 2': 0.95, 'Role 4': 0.82, 'Role 5': 0.06}}, {'id': '1_5_1_3_1_1', 'cost': 240, 'act': 5138110, 'utils': {'Role 0': 0.0, 'Role 3': 0.02, 'Role 1': 0.21, 'Role 2': 0.88, 'Role 4': 0.85, 'Role 5': 0.05}}, {'id': '1_5_1_4_1_1', 'cost': 260, 'act': 4071817, 'utils': {'Role 0': 0.0, 'Role 3': 0.03, 'Role 1': 0.24, 'Role 2': 0.99, 'Role 4': 0.73, 'Role 5': 0.05}}, {'id': '1_7_1_5_1_1', 'cost': 320, 'act': 1751868, 'utils': {'Role 0': 0.0, 'Role 3': 0.04, 'Role 1': 0.34, 'Role 2': 0.98, 'Role 4': 0.81, 'Role 5': 0.08}}, {'id': '1_4_1_3_1_1', 'cost': 220, 'act': 5917806, 'utils': {'Role 0': 0.0, 'Role 3': 0.02, 'Role 1': 0.18, 'Role 2': 0.98, 'Role 4': 0.75, 'Role 5': 0.04}}, {'id': '2_10_1_6_1_1', 'cost': 420, 'act': 379126, 'utils': {'Role 0': 0.0, 'Role 3': 0.05, 'Role 1': 0.21, 'Role 2': 0.91, 'Role 4': 0.83, 'Role 5': 0.09}}, {'id': '1_9_1_5_1_1', 'cost': 360, 'act': 1046500, 'utils': {'Role 0': 0.0, 'Role 3': 0.04, 'Role 1': 0.38, 'Role 2': 0.87, 'Role 4': 0.9, 'Role 5': 0.08}}, {'id': '1_3_1_3_1_1', 'cost': 200, 'act': 9058431, 'utils': {'Role 0': 0.0, 'Role 3': 0.02, 'Role 1': 0.14, 'Role 2': 0.99, 'Role 4': 0.57, 'Role 5': 0.03}}, {'id': '1_10_1_6_1_1', 'cost': 400, 'act': 493427, 'utils': {'Role 0': 0.0, 'Role 3': 0.05, 'Role 1': 0.45, 'Role 2': 0.95, 'Role 4': 0.9, 'Role 5': 0.1}}, {'id': '1_10_1_5_1_1', 'cost': 380, 'act': 913795, 'utils': {'Role 0': 0.0, 'Role 3': 0.05, 'Role 1': 0.39, 'Role 2': 0.79, 'Role 4': 0.93, 'Role 5': 0.09}}, {'id': '1_3_1_2_1_1', 'cost': 180, 'act': 10697980, 'utils': {'Role 0': 0.0, 'Role 3': 0.01, 'Role 1': 0.13, 'Role 2': 0.87, 'Role 4': 0.75, 'Role 5': 0.03}}, {'id': '2_11_1_7_1_1', 'cost': 460, 'act': 260923, 'utils': {'Role 0': 0.0, 'Role 3': 0.05, 'Role 1': 0.24, 'Role 2': 0.88, 'Role 4': 0.81, 'Role 5': 0.1}}, {'id': '1_2_1_2_1_1', 'cost': 160, 'act': 14687393, 'utils': {'Role 0': 0.0, 'Role 3': 0.01, 'Role 1': 0.1, 'Role 2': 0.99, 'Role 4': 0.57, 'Role 5': 0.02}}, {'id': '1_2_1_1_1_1', 'cost': 140, 'act': 24475783, 'utils': {'Role 0': 0.0, 'Role 3': 0.01, 'Role 1': 0.07, 'Role 2': 0.71, 'Role 4': 0.82, 'Role 5': 0.02}}, {'id': '1_1_1_1_1_1', 'cost': 120, 'act': 33914763, 'utils': {'Role 0': 0.0, 'Role 3': 0.01, 'Role 1': 0.05, 'Role 2': 0.97, 'Role 4': 0.56, 'Role 5': 0.01}}, {'id': '1_13_1_7_1_1', 'cost': 480, 'act': 249251, 'utils': {'Role 0': 0.0, 'Role 3': 0.07, 'Role 1': 0.54, 'Role 2': 0.85, 'Role 4': 0.9, 'Role 5': 0.12}}, {'id': '1_13_1_8_1_1', 'cost': 500, 'act': 191144, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.48, 'Role 2': 0.78, 'Role 4': 0.71, 'Role 5': 0.11}}, {'id': '2_14_1_8_1_1', 'cost': 540, 'act': 185345, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.25, 'Role 2': 0.74, 'Role 4': 0.76, 'Role 5': 0.11}}, {'id': '3_14_1_8_1_1', 'cost': 560, 'act': 178964, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.15, 'Role 2': 0.69, 'Role 4': 0.71, 'Role 5': 0.11}}, {'id': '2_16_2_9_1_1', 'cost': 620, 'act': 164890, 'utils': {'Role 0': 0.0, 'Role 3': 0.03, 'Role 1': 0.25, 'Role 2': 0.65, 'Role 4': 0.67, 'Role 5': 0.11}}, {'id': '2_15_1_10_1_1', 'cost': 600, 'act': 168650, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.25, 'Role 2': 0.72, 'Role 4': 0.62, 'Role 5': 0.11}}, {'id': '2_14_1_10_1_1', 'cost': 580, 'act': 173428, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.24, 'Role 2': 0.73, 'Role 4': 0.59, 'Role 5': 0.11}}, {'id': '4_15_1_10_1_1', 'cost': 640, 'act': 162733, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.12, 'Role 2': 0.71, 'Role 4': 0.62, 'Role 5': 0.12}}, {'id': '2_17_1_11_2_1', 'cost': 680, 'act': 152606, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.24, 'Role 2': 0.57, 'Role 4': 0.51, 'Role 5': 0.05}}, {'id': '3_16_1_11_1_1', 'cost': 660, 'act': 155729, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.16, 'Role 2': 0.64, 'Role 4': 0.53, 'Role 5': 0.11}}] 

iterations = 2, 0.022, 0.222, 0.1, 4, 216213950.0, changed = True, neighbourhood = 303 
iterations = 4, 0.05, 0.313, 0.161, 6, 295245160.0, changed = True, neighbourhood = 264 
iterations = 6, 0.111, 0.383, 0.29, 8, 377637940.0, changed = True, neighbourhood = 377 
iterations = 8, 0.147, 0.427, 0.344, 8, 410116500.0, changed = True, neighbourhood = 298 
iterations = 10, 0.085, 0.388, 0.219, 8, 326169290.0, changed = True, neighbourhood = 240 
iterations = 12, 0.096, 0.438, 0.219, 8, 346993860.0, changed = True, neighbourhood = 272 
iterations = 14, 0.135, 0.48, 0.281, 8, 373685410.0, changed = True, neighbourhood = 324 
iterations = 16, 0.143, 0.415, 0.344, 11, 412111270.0, changed = True, neighbourhood = 294 
iterations = 18, 0.335, 0.824, 0.406, 14, 651388360.0, changed = True, neighbourhood = 197 
iterations = 20, 0.306, 0.612, 0.5, 17, 1109847100.0, changed = True, neighbourhood = 199 
iterations = 22, 0.504, 0.848, 0.594, 20, 2097338260.0, changed = True, neighbourhood = 164 
iterations = 23, 0.501, 0.843, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 162 
iterations = 24, 0.459, 0.774, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 145 
iterations = 25, 0.459, 0.774, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 156 
iterations = 26, 0.459, 0.774, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 158 
iterations = 27, 0.459, 0.774, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 158 
iterations = 28, 0.459, 0.774, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 159 
iterations = 29, 0.459, 0.774, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 159 
iterations = 30, 0.459, 0.774, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 159 
iterations = 31, 0.459, 0.774, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 159 
iterations = 32, 0.459, 0.774, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 160 
iterations = 33, 0.459, 0.774, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 163 
iterations = 34, 0.459, 0.774, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 164 
iterations = 35, 0.459, 0.774, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 164 
iterations = 36, 0.459, 0.774, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 163 
iterations = 37, 0.45, 0.758, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 165 
iterations = 38, 0.45, 0.758, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 165 
iterations = 39, 0.45, 0.758, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 164 
iterations = 40, 0.45, 0.758, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 165 
iterations = 41, 0.45, 0.758, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 165 
iterations = 42, 0.45, 0.758, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 165 
iterations = 43, 0.45, 0.758, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 165 
iterations = 44, 0.45, 0.758, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 165 
iterations = 45, 0.45, 0.758, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 165 
iterations = 46, 0.45, 0.758, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 165 
iterations = 47, 0.45, 0.758, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 164 
iterations = 48, 0.45, 0.758, 0.594, 20, 2097338260.0, changed = False, neighbourhood = 165 
iterations = 49, 0.436, 0.758, 0.576, 20, 2097338260.0, changed = False, neighbourhood = 164 
iterations = 50, 0.423, 0.758, 0.559, 20, 2097338260.0, changed = False, neighbourhood = 165 
